"[-0.39153422  0.33700677  0.25145241  0.0110087   0.82085775  0.83552023
  0.70910228]","[True, True]",close_finger
"[-0.39221651  0.33711956  0.252348    0.01356751  0.81787634  0.83400538
  0.709648  ]","[True, True]",close_finger
"[ 0.03328721  0.38080953  0.23105101  0.48313667  0.99753079  0.12050569
 -0.32506747]","[True, True]",close_finger
"[ 0.04299116 -0.26486157  0.1088317  -0.67404882  0.89022557 -0.30330619
  0.07446084]","[True, True]",close_finger
"[-0.39048952  0.33884603  0.25289806  0.01434676  0.82119019  0.83826904
  0.7098514 ]","[True, True]",close_finger
"[ 0.04405175 -0.2648178   0.10929701 -0.67198215  0.89083521 -0.29987687
  0.07547244]","[True, True]",close_finger
"[-0.39458651  0.33735645  0.25179952  0.01158427  0.81983553  0.83319491
  0.70813229]","[True, True]",close_finger
"[-0.35653214 -0.33494952 -0.27210599  0.62483573 -0.40392985 -0.86410629
  0.33272635]","[True, True]",close_finger
"[ 0.04439082 -0.26340569  0.10890997 -0.67295869  0.89106775 -0.30058516
  0.07478399]","[True, True]",close_finger
"[-0.39097078  0.33734441  0.25170676  0.01134058  0.82299049  0.83800473
  0.71120086]","[True, True]",close_finger
"[ 0.04695759 -0.26375569  0.11329412 -0.67090916  0.89157612 -0.29878125
  0.07890998]","[True, True]",close_finger
"[ 0.03385122  0.38371626  0.23274888  0.48712929  0.99878324  0.12257021
 -0.32333577]","[True, True]",close_finger
"[-0.39214804  0.34059247  0.25497115  0.01336399  0.82116381  0.83325245
  0.70962204]","[True, True]",close_finger
"[-0.39248566  0.33670555  0.25166803  0.01207663  0.82041963  0.83333107
  0.71013444]","[True, True]",close_finger
"[ 0.04668091 -0.26095461  0.11270064 -0.67120092  0.89185451 -0.30245588
  0.07733138]","[True, True]",close_finger
"[-0.39018132  0.34109901  0.25597598  0.01528972  0.82094347  0.83448227
  0.71016036]","[True, True]",close_finger
"[-0.39258667  0.33918055  0.25459638  0.01246951  0.82104782  0.83596859
  0.71145413]","[True, True]",close_finger
"[ 0.0334256   0.38418637  0.23335657  0.48452499  1.00087265  0.1238226
 -0.32375751]","[True, True]",close_finger
"[-0.38781698  0.33803579  0.25178657  0.01325324  0.82527534  0.83824548
  0.71215345]","[True, True]",close_finger
"[ 0.04860741 -0.26104588  0.11717039 -0.66995634  0.89341912 -0.29655429
  0.08143501]","[True, True]",close_finger
